Name,Album,Artist,URI
Green Green Grass,Green Green Grass,George Ezra,spotify:track:3rk4aJ0vAj3cFUIQEeASkT
That Part,That Part,Lauren Spencer Smith,spotify:track:7vfCm8tEWV9lCpyY1nvJVB
IT'S YOU (feat. keshi),IT'S YOU (feat. keshi),MAX,spotify:track:5SMCxRA6hB2jEhroaYfw6N
C'est La Vie (with bbno$ & Rich Brian),C'est La Vie,Yung Gravy,spotify:track:0cgy8EueqwMuYzOZrW5vPB
Bad Booty,Bad Booty,MIRA,spotify:track:6YFwGUryBKKhJ7s7rZWix0
LIFETIMES,LIFETIMES,Katy Perry,spotify:track:0K8sKuo6xLHZgySZmmw2rV
Late Night Talking,Late Night Talking,Harry Styles,spotify:track:5M7h24t295Z8MnyRAcjQbD
Million Dollar Baby,Million Dollar Baby,Ava Max,spotify:track:3pPN20syOYvbUuEiBpbenI
On My Love,On My Love,Zara Larsson,spotify:track:0dxp7DyPJEo6JhtnjUtBnN
Lovin On Me,Lovin On Me,Jack Harlow,spotify:track:4xhsWYTOGcal8zt0J161CU
Doctor (Work It Out) [feat. Miley Cyrus],Doctor (Work It Out) [feat. Miley Cyrus],Pharrell Williams,spotify:track:4f9wNNZET9wH7eMBgONd3d
Betty (Get Money),Betty (Get Money),Yung Gravy,spotify:track:4cacyP5c3PMlfnyjpg13xW
Snow On The Beach (feat. Lana Del Rey),Midnights (3am Edition),Taylor Swift,spotify:track:6ADDIJxxqzM9LMpm78yzQG
Give Me A Kiss,Give Me A Kiss,Crash Adams,spotify:track:0ocf3HwWhrXtA8r63Vcd2h
GIRLS,GIRLS,The Kid LAROI,spotify:track:7z3PblAN3dH1JMewiRydkZ
